stationid,milepost,locationtext,upstream,downstream,numberlanes,latlon,length
1125,14.58,Sunnyside SB,1098,0,3,"45.43321952,-122.56635457",0.83
1098,16.24,Johnson Creek SB,1054,1125,3,"45.45687775,-122.57315129",1.46
1054,17.5,Foster SB,1053,1098,3,"45.47907983,-122.56598979",1.34
1053,18.92,Powell Blvd SB,1052,1054,3,"45.49741915,-122.56556869",0.88
1052,19.25,Division SB,1051,1053,3,"45.50438814,-122.56546676",0.71
1051,20.34,Stark/Washington SB,1143,1052,3,"45.51868626,-122.5655821",0.93
1143,21.12,Glisan to I-205 SB,1141,1051,3,"45.5263291,-122.56548554",1.53
1141,23.41,Columbia to I-205 SB,1050,1143,3,"45.56092595,-122.56364822",1.77
1050,24.66,Airportway EB to SB,1049,1141,3,"45.57114858,-122.54981339",0.68
1049,24.77,Airportway WB to SB,0,1050,3,"45.57461641,-122.54627556",1.88
